index,original_title,overview,release_date,title,cast,director,genres,imdb_title_id,keywords
230,Star Wars: Episode II - Attack of the Clones,"Ten years after the invasion of Naboo, the galaxy is on the brink of civil war. Under the leadership of a renegade Jedi named Count Dooku, thousands of solar systems threaten to break away from the Galactic Republic. When an assassination attempt is made on Senator Padmé Amidala, the former Queen of Naboo, twenty-year-old Jedi apprentice Anakin Skywalker is assigned to protect her. In the course of his mission, Anakin discovers his love for Padmé as well as his own darker side. Soon, Anakin, Padmé, and Obi-Wan Kenobi are drawn into the heart of the Separatist movement and the beginning of the Clone Wars.",2002-05-15,Star Wars: Episode II - Attack of the Clones,Ewan McGregor Natalie Portman Hayden Christensen Ian McDiarmid Samuel L. Jackson,George Lucas,Adventure Action Science Fiction,tt0121765,senate investigation army death star jedi
231,"Monsters, Inc.","James Sullivan and Mike Wazowski are monsters, they earn their living scaring children and are the best in the business... even though they're more afraid of the children than they are of them. When a child accidentally enters their world, James and Mike suddenly find that kids are not to be afraid of and they uncover a conspiracy that could threaten all children across the world.",2001-11-01,"Monsters, Inc.",John Goodman Billy Crystal Mary Gibbs Steve Buscemi James Coburn,Pete Docter,Animation Comedy Family,tt0198781,monster infant energy supply company rivalry
232,The Wolverine,"Wolverine faces his ultimate nemesis - and tests of his physical, emotional, and mortal limits - in a life-changing voyage to modern-day Japan.",2013-07-23,The Wolverine,Hugh Jackman Hiroyuki Sanada Famke Janssen Will Yun Lee Tao Okamoto,James Mangold,Action Science Fiction Adventure Fantasy,tt1430132,japan samurai mutant world war i marvel comic
233,Star Wars: Episode I - The Phantom Menace,"Anakin Skywalker, a young slave strong with the Force, is discovered on Tatooine. Meanwhile, the evil Sith have returned, enacting their plot for revenge against the Jedi.",1999-05-19,Star Wars: Episode I - The Phantom Menace,Liam Neeson Ewan McGregor Natalie Portman Jake Lloyd Ian McDiarmid,George Lucas,Adventure Action Science Fiction,tt0120915,prophecy senate queen taskmaster galaxy
234,The Croods,"The Croods is a prehistoric comedy adventure that follows the world's first family as they embark on a journey of a lifetime when the cave that has always shielded them from danger is destroyed. Traveling across a spectacular landscape, the Croods discover an incredible new world filled with fantastic creatures -- and their outlook is changed forever.",2013-03-20,The Croods,Nicolas Cage Emma Stone Ryan Reynolds Catherine Keener Cloris Leachman,Chris Sanders,Adventure Animation Comedy Family Fantasy,tt0481499,stone age daughter father prehistoric ancient world
235,Astérix aux Jeux Olympiques,"Astérix and Obélix have to win the Olympic Games in order to help their friend Alafolix marry Princess Irina (portrayed by supermodel Vanessa Hessler). Brutus (Benoît Poelvoorde) uses every trick in the book to have his own team win the game, and get rid of his father Julius Caesar (Alain Delon) in the process.",2008-01-13,Asterix at the Olympic Games,Clovis Cornillac G\u00e9rard Depardieu Franck Dubosc Jos\u00e9 Garcia St\u00e9phane Rousseau,Thomas Langmann,Fantasy Adventure Comedy Family,tt0463872,competition greece colosseum olympic games emperor
236,Windtalkers,"Joe Enders is a gung-ho Marine assigned to protect a ""windtalker"" - one of several Navajo Indians who were used to relay messages during World War II because their spoken language was indecipherable to Japanese code breakers.",2002-06-14,Windtalkers,Nicolas Cage Adam Beach Peter Stormare Noah Emmerich Mark Ruffalo,John Woo,Drama Action History War,tt0245562,japan world war ii radio transmission marine corps u.s. army
237,The Huntsman: Winter's War,"As two evil sisters prepare to conquer the land, two renegades—Eric the Huntsman, who aided Snow White in defeating Ravenna in Snowwhite and the Huntsman, and his forbidden lover, Sara—set out to stop them.",2016-04-06,The Huntsman: Winter's War,Chris Hemsworth Charlize Theron Emily Blunt Jessica Chastain Nick Frost,Cedric Nicolas-Troyan,Action Adventure Drama,tt2381991,witch magic fairy tale snow white huntsman
238,Teenage Mutant Ninja Turtles,The city needs heroes. Darkness has settled over New York City as Shredder and his evil Foot Clan have an iron grip on everything from the police to the politicians. The future is grim until four unlikely outcast brothers rise from the sewers and discover their destiny as Teenage Mutant Ninja Turtles. The Turtles must work with fearless reporter April and her wise-cracking cameraman Vern Fenwick to save the city and unravel Shredder's diabolical plan.,2014-08-07,Teenage Mutant Ninja Turtles,Megan Fox Will Arnett William Fichtner Alan Ritchson Noel Fisher,Jonathan Liebesman,Science Fiction Action Adventure Fantasy Comedy,tt0100758,martial arts terrorist hero mutation van
239,Gravity,"Dr. Ryan Stone, a brilliant medical engineer on her first Shuttle mission, with veteran astronaut Matt Kowalsky in command of his last flight before retiring. But on a seemingly routine spacewalk, disaster strikes. The Shuttle is destroyed, leaving Stone and Kowalsky completely alone-tethered to nothing but each other and spiraling out into the blackness of space. The deafening silence tells them they have lost any link to Earth and any chance for rescue. As fear turns to panic, every gulp of air eats away at what little oxygen is left. But the only way home may be to go further out into the terrifying expanse of space.",2013-09-27,Gravity,Sandra Bullock George Clooney Ed Harris Orto Ignatiussen Phaldut Sharma,Alfonso Cuar\u00f3n,Science Fiction Thriller Drama,tt1454468,space mission loss space astronaut trapped in space
240,Dante's Peak,"Volcanologist Harry Dalton comes to the sleepy town of Dante's Peak to investigate the recent rumblings of the dormant volcano the burg is named for. Before long, his worst fears are realized when a massive eruption hits, and immediately, Harry, the mayor and the townspeople find themselves fighting for their lives amid a catastrophic nightmare.",1997-02-07,Dante's Peak,Pierce Brosnan Linda Hamilton Jamie Ren\u00e9e Smith Jeremy Foley Elizabeth Hoffman,Roger Donaldson,Action Adventure Thriller,tt0118928,helicopter small town mayor evacuation motel
241,Teenage Mutant Ninja Turtles: Out of the Shadows,"After supervillain Shredder escapes custody, he joins forces with mad scientist Baxter Stockman and two dimwitted henchmen, Bebop and Rocksteady, to unleash a diabolical plan to take over the world. As the Turtles prepare to take on Shredder and his new crew, they find themselves facing an even greater evil with similar intentions: the notorious Krang.",2016-06-01,Teenage Mutant Ninja Turtles: Out of the Shadows,Megan Fox Stephen Amell Will Arnett Laura Linney Pete Ploszek,Dave Green,Fantasy Action Adventure Comedy,tt3949660,brother brother relationship turtle sequel based on comic book ninja
242,Fantastic Four,"Four young outsiders teleport to a dangerous universe, which alters their physical form in shocking ways. Their lives irrevocably upended, the team must learn to harness their daunting new abilities and work together to save Earth from a former friend turned enemy.",2015-08-05,Fantastic Four,Miles Teller Kate Mara Michael B. Jordan Jamie Bell Toby Kebbell,Josh Trank,Action Adventure Science Fiction,tt0120667,teleportation transformation telekinesis portal marvel comic
243,Night at the Museum,"Chaos reigns at the natural history museum when night watchman Larry Daley accidentally stirs up an ancient curse, awakening Attila the Hun, an army of gladiators, a Tyrannosaurus rex and other exhibits. Larry tries desperately to keep the museum under control, but he's fighting a losing battle until President Teddy Roosevelt comes to the rescue.",2006-10-20,Night at the Museum,Ben Stiller Jake Cherry Carla Gugino Robin Williams Dick Van Dyke,Shawn Levy,Action Adventure Comedy Family Fantasy,tt0477347,museum skeleton night shift chaos genghis khan
244,San Andreas,"In the aftermath of a massive earthquake in California, a rescue-chopper pilot makes a dangerous journey across the state in order to rescue his estranged daughter.",2015-05-27,San Andreas,Dwayne Johnson Alexandra Daddario Carla Gugino Ioan Gruffudd Archie Panjabi,Brad Peyton,Action Drama Thriller,tt2126355,california earthquake catastrophe disaster film 3d
245,Tomorrow Never Dies,A deranged media mogul is staging international incidents to pit the world's superpowers against each other. Now 007 must take on this evil mastermind in an adrenaline-charged battle to end his reign of terror and prevent global pandemonium.,1997-12-11,Tomorrow Never Dies,Pierce Brosnan Jonathan Pryce Michelle Yeoh Teri Hatcher Ricky Jay,Roger Spottiswoode,Adventure Action Thriller,tt0120347,london england england spy china news broadcast
246,The Patriot,"After proving himself on the field of battle in the French and Indian War, Benjamin Martin wants nothing more to do with such things, preferring the simple life of a farmer. But when his son Gabriel enlists in the army to defend their new nation, America, against the British, Benjamin reluctantly returns to his old life to protect his son.",2000-06-28,The Patriot,Mel Gibson Heath Ledger Joely Richardson Jason Isaacs Tch\u00e9ky Karyo,Roland Emmerich,Drama History War Action,tt0091734,rebel southern usa loss of son martial arts general
247,Ocean's Twelve,"Danny Ocean reunites with his old flame and the rest of his merry band of thieves in carrying out three huge heists in Rome, Paris and Amsterdam – but a Europol agent is hot on their heels.",2004-12-09,Ocean's Twelve,George Clooney Brad Pitt Catherine Zeta-Jones Julia Roberts Andy Garc\u00eda,Steven Soderbergh,Thriller Crime,tt0349903,sequel faberg\u00e9 egg dutch eastindian company second part
248,Mr. & Mrs. Smith,"After five (or six) years of vanilla-wedded bliss, ordinary suburbanites John and Jane Smith are stuck in a huge rut. Unbeknownst to each other, they are both coolly lethal, highly-paid assassins working for rival organisations. When they discover they're each other's next target, their secret lives collide in a spicy, explosive mix of wicked comedy, pent-up passion, nonstop action and high-tech weaponry.",2005-06-07,Mr. & Mrs. Smith,Angelina Jolie Brad Pitt Vince Vaughn Adam Brody Kerry Washington,Doug Liman,Action Comedy Drama Thriller,tt0033922,bomb assassin secret identity secret assault rifle
249,Insurgent,Beatrice Prior must confront her inner demons and continue her fight against a powerful alliance which threatens to tear her society apart.,2015-03-18,Insurgent,Shailene Woodley Theo James Kate Winslet Ansel Elgort Miles Teller,Robert Schwentke,Adventure Science Fiction Thriller,tt2908446,based on novel revolution dystopia sequel dystopic future
250,The Aviator,"A biopic depicting the life of filmmaker and aviation pioneer Howard Hughes from 1927 to 1947, during which time he became a successful film producer and an aviation magnate, while simultaneously growing more unstable due to severe obsessive-compulsive disorder.",2004-12-17,The Aviator,Leonardo DiCaprio Cate Blanchett Kate Beckinsale John C. Reilly Alec Baldwin,Martin Scorsese,Drama,tt0088758,ladykiller pilot biography womanizer aviation
251,Gulliver's Travels,"Travel writer Lemuel Gulliver takes an assignment in Bermuda, but ends up on the island of Liliput, where he towers over its tiny citizens.",2010-12-25,Gulliver's Travels,Jack Black Amanda Peet Emily Blunt Jason Segel Chris O'Dowd,Rob Letterman,Comedy,tt0031397,journalist forbidden love princess royal court 3d
252,The Green Hornet,"Britt Reid (Seth Rogen), the heir to the largest newspaper fortune in Los Angeles, is a spoiled playboy who has been, thus far, happy to lead an aimless life. After his father (Tom Wilkinson) dies, Britt meets Kato (Jay Chou), a resourceful company employee. Realizing that they have the talent and resources to make something of their lives, Britt and Kato join forces as costumed crime-fighters to bring down the city's most-powerful criminal, Chudnofsky (Christoph Waltz).",2011-01-12,The Green Hornet,Seth Rogen Jay Chou Christoph Waltz Cameron Diaz Edward Furlong,Michel Gondry,Action Crime Comedy,tt0031394,bomb martial arts assassin vandalism nightclub
253,300: Rise of an Empire,"Based on Frank Miller's latest graphic novel Xerxes and told in the breathtaking visual style of the blockbuster ""300,"" this new chapter of the epic saga takes the action to a fresh battlefield--on the sea--as Greek general Themistokles attempts to unite all of Greece by leading the charge that will change the course of the war. ""300: Rise of an Empire"" pits Themistokles against the massive invading Persian forces led by mortal-turned-god Xerxes and Artemesia, the vengeful commander of the Persian navy.",2014-03-05,300: Rise of an Empire,Sullivan Stapleton Eva Green Lena Headey Callan Mulvey David Wenham,Noam Murro,Action War,tt1253863,based on graphic novel ancient greece duringcreditsstinger sea battle hand to hand combat
254,The Smurfs,"When the evil wizard Gargamel chases the tiny blue Smurfs out of their village, they tumble from their magical world and into ours -- in fact, smack dab in the middle of Central Park. Just three apples high and stuck in the Big Apple, the Smurfs must find a way to get back to their village before Gargamel tracks them down.",2011-07-29,The Smurfs,Hank Azaria Neil Patrick Harris Jayma Mays Sof\u00eda Vergara Tim Gunn,Raja Gosnell,Animation Family Adventure Comedy Fantasy,tt0472181,moon magic based on comic book animation good vs evil
255,Home on the Range,"When a greedy outlaw schemes to take possession of the ""Patch Of Heaven"" dairy farm, three determined cows, a karate-kicking stallion and a colorful corral of critters join forces to save their home. The stakes are sky-high as this unlikely animal alliance risk their hides and match wits with a mysterious band of bad guys.",2004-04-02,Home on the Range,Roseanne Barr Judi Dench Jennifer Tilly Steve Buscemi G. W. Bailey,Will Finn,Animation Family,tt0299172,farm cow animal
256,Allegiant,Beatrice Prior and Tobias Eaton venture into the world outside of the fence and are taken into protective custody by a mysterious agency known as the Bureau of Genetic Welfare.,2016-03-09,Allegiant,Shailene Woodley Theo James Zo\u00eb Kravitz Miles Teller Naomi Watts,Robert Schwentke,Adventure Science Fiction,tt3410834,based on novel revolution dystopia sequel dystopic future
257,Real Steel,"In the near-future, Charlie Kenton is a washed-up fighter who retired from the ring when robots took over the sport. After Charlie's robot is trashed, he reluctantly teams up with his estranged son Max to rebuild and train an unlikely contender.",2011-09-28,Real Steel,Hugh Jackman Dakota Goyo Evangeline Lilly Anthony Mackie Kevin Durand,Shawn Levy,Action Science Fiction Drama,tt0433035,father son relationship fight sport robot prizefighting
258,The Smurfs 2,"The evil wizard Gargamel creates a couple of mischievous Smurf-like creatures called the Naughties that he hopes will let him harness the all-powerful, magical Smurf-essence. But when he discovers that only a real Smurf can give him what he wants, and only a secret spell that Smurfette knows can turn the Naughties into real Smurfs, Gargamel kidnaps Smurfette and brings her to Paris, where he has been winning the adoration of millions as the world¹s greatest sorcerer. It's up to Papa, Clumsy, Grouchy, and Vanity to return to our world, reunite with their human friends Patrick and Grace Winslow, and rescue her! Will Smurfette, who has always felt different from the other Smurfs, find a new connection with the Naughties Vexy and Hackus or will the Smurfs convince her that their love for her is True Blue?",2013-07-30,The Smurfs 2,Hank Azaria Neil Patrick Harris Brendan Gleeson Jayma Mays Jonathan Winters,Raja Gosnell,Fantasy Family Comedy Animation,tt2017020,based on cartoon animation smurf
259,Speed 2: Cruise Control,Sandra Bullock and Jason Patric star as a young couple whose dream cruise turns to terror when a lunatic computer genius (Willem Dafoe) sets a new course for destruction.,1997-06-13,Speed 2: Cruise Control,Sandra Bullock Jason Patric Willem Dafoe Temuera Morrison Mike Hagerty,Jan de Bont,Action Adventure Thriller,tt0120179,boat cruise computer disaster diamond
260,Ender's Game,"Based on the classic novel by Orson Scott Card, Ender's Game is the story of the Earth's most gifted children training to defend their homeplanet in the space wars of the future.",2013-10-23,Ender's Game,Asa Butterfield Harrison Ford Hailee Steinfeld Abigail Breslin Ben Kingsley,Gavin Hood,Science Fiction Action Adventure,tt1731141,based on novel intolerance chosen one child prodigy futuristic
261,Live Free or Die Hard,"John McClane is back and badder than ever, and this time he's working for Homeland Security. He calls on the services of a young hacker in his bid to stop a ring of Internet terrorists intent on taking control of America's computer infrastructure.",2007-06-20,Live Free or Die Hard,Bruce Willis Justin Long Timothy Olyphant Cliff Curtis Maggie Q,Len Wiseman,Action Thriller,tt0337978,usa washington d.c. helicopter hostage fbi
262,The Lord of the Rings: The Fellowship of the Ring,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.",2001-12-18,The Lord of the Rings: The Fellowship of the Ring,Elijah Wood Ian McKellen Cate Blanchett Orlando Bloom Sean Bean,Peter Jackson,Adventure Fantasy Action,tt0120737,elves dwarves orcs middle-earth (tolkien) hobbit
263,Around the World in 80 Days,"A bet pits a British inventor, a Chinese thief and a French artist on a worldwide adventure that they can circle the globe in 80 days.",2004-06-16,Around the World in 80 Days,Jackie Chan Steve Coogan C\u00e9cile de France Robert Fyfe Jim Broadbent,Frank Coraci,Action Adventure Comedy,tt0048960,paris london england new york jules verne san francisco
264,Ali,"In 1964, a brash new pro boxer, fresh from his olympic gold medal victory, explodes on to the scene; Cassius Clay. Bold and outspoken, he cuts an entirely new image for African Americans in sport with his proud public self confidence and his unapologetic belief that he is the greatest boxer of all time. Yet at the top of his game, both Ali's personal and professional lives face the ultimate test.",2001-12-11,Ali,Will Smith Jamie Foxx Jon Voight Mario Van Peebles Ron Silver,Michael Mann,Drama,tt0248667,usa transporter boxer biography muhammad
265,The Cat in the Hat,"Conrad and Sally Walden are home alone with their pet fish. It is raining outside, and there is nothing to do. Until The Cat in the Hat walks in the front door. He introduces them to their imagination, and at first it's all fun and games, until things get out of hand, and The Cat must go, go, go, before their parents get back.",2003-11-21,The Cat in the Hat,Mike Myers Dakota Fanning Spencer Breslin Kelly Preston Alec Baldwin,Bo Welch,Comedy Fantasy Family,tt0312528,cat brother sister relationship boredom chaos step father
266,"I, Robot","In 2035, where robots are common-place and abide by the three laws of robotics, a techno-phobic cop investigates an apparent suicide. Suspecting that a robot may be responsible for the death, his investigation leads him to believe that humanity may be in danger.",2004-07-15,"I, Robot",Will Smith Bridget Moynahan Alan Tudyk James Cromwell Bruce Greenwood,Alex Proyas,Action Science Fiction,tt0343818,suicide artificial intelligence man vs machine chicago based on novel
267,Kingdom of Heaven,"After his wife dies, a blacksmith named Balian is thrust into royalty, political intrigue and bloody holy wars during the Crusades.",2005-05-03,Kingdom of Heaven,Orlando Bloom Eva Green Jeremy Irons Marton Csokas Brendan Gleeson,Ridley Scott,Drama Action Adventure History War,tt0320661,crusade epic knight swordsman order of the templars
268,Stuart Little,"The adventures of a heroic and debonair stalwart mouse named Stuart Little with human qualities, who faces some comic misadventures while searching for his lost bird friend and living with a human family as their child.",1999-12-17,Stuart Little,Michael J. Fox Geena Davis Hugh Laurie Jonathan Lipnicki Nathan Lane,Rob Minkoff,Animation Fantasy Family Comedy,tt0164912,brother brother relationship based on novel cat mouse adoption
269,The Princess and the Frog,"A waitress, desperate to fulfill her dreams as a restaurant owner, is set on a journey to turn a frog prince back into a human being, but she has to do face the same problem after she kisses him.",2009-12-08,The Princess and the Frog,Anika Noni Rose Bruno Campos Keith David Michael-Leon Wooley Jennifer Cody,Ron Clements,Romance Family Animation Music,tt0780521,based on novel voodoo kiss princess animation
270,The Martian,"During a manned mission to Mars, Astronaut Mark Watney is presumed dead after a fierce storm and left behind by his crew. But Watney has survived and finds himself stranded and alone on the hostile planet. With only meager supplies, he must draw upon his ingenuity, wit and spirit to subsist and find a way to signal to Earth that he is alive.",2015-09-30,The Martian,Matt Damon Jessica Chastain Kristen Wiig Jeff Daniels Michael Pe\u00f1a,Ridley Scott,Drama Adventure Science Fiction,tt3659388,based on novel mars nasa isolation botanist
271,The Island,"In 2019, Lincoln Six-Echo is a resident of a seemingly ""Utopian"" but contained facility. Like all of the inhabitants of this carefully-controlled environment, Lincoln hopes to be chosen to go to The Island — reportedly the last uncontaminated location on the planet. But Lincoln soon discovers that everything about his existence is a lie.",2005-07-20,The Island,Ewan McGregor Scarlett Johansson Djimon Hounsou Sean Bean Steve Buscemi,Michael Bay,Action Thriller Science Fiction Adventure,tt0080934,clone transplantation love of one's life dystopia genetics
272,Town & Country,"Porter Stoddard is a well-known New York architect who is at a crossroads... a nexus where twists and turns lead to myriad missteps some with his wife Ellie, others with longtime friends Mona and her husband Griffin. Deciding which direction to take often leads to unexpected encounters with hilarious consequences.",2001-04-27,Town & Country,Warren Beatty Diane Keaton Goldie Hawn Garry Shandling Andie MacDowell,Peter Chelsom,Comedy Romance,tt0141907,architect cellist friends anniversary
273,Gone in Sixty Seconds,"Upon learning that he has to come out of retirement to steal 50 cars in one night to save his brother Kip's life, former car thief Randall ""Memphis"" Raines enlists help from a few ""boost happy"" pals to accomplish a seemingly impossible feat. From countless car chases to relentless cops, the high-octane excitement builds as Randall swerves around more than a few roadblocks to keep Kip alive.",2000-06-09,Gone in Sixty Seconds,Nicolas Cage Angelina Jolie Giovanni Ribisi Delroy Lindo Will Patton,Dominic Sena,Action Crime Thriller,tt0187078,brother brother relationship detective car race car thief blackmail
274,Gladiator,"In the year 180, the death of emperor Marcus Aurelius throws the Roman Empire into chaos. Maximus is one of the Roman army's most capable and trusted generals and a key advisor to the emperor. As Marcus' devious son Commodus ascends to the throne, Maximus is set to be executed. He escapes, but is captured by slave traders. Renamed Spaniard and forced to become a gladiator, Maximus must battle to the death with other men for the amusement of paying audiences. His battle skills serve him well, and he becomes one of the most famous and admired men to fight in the Colosseum. Determined to avenge himself against the man who took away his freedom and laid waste to his family, Maximus believes that he can use his fame and skill in the ring to avenge the loss of his family and former glory. As the gladiator begins to challenge his rule, Commodus decides to put his own fighting mettle to the test by squaring off with Maximus in a battle to the death.",2000-05-01,Gladiator,Russell Crowe Joaquin Phoenix Connie Nielsen Oliver Reed Richard Harris,Ridley Scott,Action Drama Adventure,tt0104346,rome gladiator arena senate roman empire
275,Minority Report,"John Anderton is a top 'Precrime' cop in the late-21st century, when technology can predict crimes before they're committed. But Anderton becomes the quarry when another investigator targets him for a murder charge.",2002-06-20,Minority Report,Tom Cruise Colin Farrell Samantha Morton Max von Sydow Lois Smith,Steven Spielberg,Action Thriller Science Fiction Mystery,tt0181689,self-fulfilling prophecy washington d.c. evidence future hologram
276,Harry Potter and the Chamber of Secrets,"Ignoring threats to his life, Harry returns to Hogwarts to investigate – aided by Ron and Hermione – a mysterious series of attacks.",2002-11-13,Harry Potter and the Chamber of Secrets,Daniel Radcliffe Rupert Grint Emma Watson Richard Harris Alan Rickman,Chris Columbus,Adventure Fantasy Family,tt0295297,flying car witch magic cutting the cord child hero
277,Casino Royale,"Le Chiffre, a banker to the world's terrorists, is scheduled to participate in a high-stakes poker game in Montenegro, where he intends to use his winnings to establish his financial grip on the terrorist market. M sends Bond – on his maiden mission as a 00 Agent – to attend this game and prevent Le Chiffre from winning. With the help of Vesper Lynd and Felix Leiter, Bond enters the most important poker game in his already dangerous career.",2006-11-14,Casino Royale,Daniel Craig Eva Green Mads Mikkelsen Judi Dench Jeffrey Wright,Martin Campbell,Adventure Action Thriller,tt0061452,italy poker casino terrorist banker
278,Planet of the Apes,"After a spectacular crash-landing on an uncharted planet, brash astronaut Leo Davidson finds himself trapped in a savage world where talking apes dominate the human race. Desperate to find a way home, Leo must evade the invincible gorilla army led by Ruthless General Thade.",2001-07-25,Planet of the Apes,Mark Wahlberg Tim Roth Helena Bonham Carter Michael Clarke Duncan Kris Kristofferson,Tim Burton,Thriller Science Fiction Action Adventure,tt0063442,gorilla space marine space suit revolution chimp
279,Terminator 2: Judgment Day,"Nearly 10 years have passed since Sarah Connor was targeted for termination by a cyborg from the future. Now her son, John, the future leader of the resistance, is the target for a newer, more deadly terminator. Once again, the resistance has managed to send a protector back to attempt to save John and his mother Sarah.",1991-07-01,Terminator 2: Judgment Day,Arnold Schwarzenegger Linda Hamilton Robert Patrick Edward Furlong Michael Edwards,James Cameron,Action Thriller Science Fiction,tt0103064,cyborg shotgun post-apocalyptic dystopia moral ambiguity
280,Public Enemies,"Depression-era bank robber John Dillinger's charm and audacity endear him to much of America's downtrodden public, but he's also a thorn in the side of J. Edgar Hoover and the fledgling FBI. Desperate to capture the elusive outlaw, Hoover makes Dillinger his first Public Enemy Number One and assigns his top agent, Melvin Purvis, the task of bringing him in dead or alive.",2009-07-01,Public Enemies,Christian Bale Johnny Depp Giovanni Ribisi Billy Crudup Marion Cotillard,Michael Mann,History Crime Drama,tt1152836,cinema hiding place machinegun prison guard escape from prison
281,American Gangster,"Following the death of his employer and mentor, Bumpy Johnson, Frank Lucas establishes himself as the number one importer of heroin in the Harlem district of Manhattan. He does so by buying heroin directly from the source in South East Asia and he comes up with a unique way of importing the drugs into the United States. Based on a true story.",2007-11-02,American Gangster,Denzel Washington Russell Crowe Chiwetel Ejiofor Josh Brolin Lymari Nadal,Ridley Scott,Drama Crime,tt0765429,underdog black people drug traffic drug smuggle society
282,True Lies,"Harry Tasker is a secret agent for the United States Government. For years, he has kept his job from his wife, but is forced to reveal his identity and try to stop nuclear terrorists when he and his wife are kidnapped by them.",1994-07-14,True Lies,Arnold Schwarzenegger Jamie Lee Curtis Tom Arnold Bill Paxton Tia Carrere,James Cameron,Action Thriller,tt0111503,spy terrorist florida gun kidnapping
284,Little Fockers,"It has taken 10 years, two little Fockers with wife Pam and countless hurdles for Greg to finally get in with his tightly wound father-in-law, Jack. After the cash-strapped dad takes a job moonlighting for a drug company, Jack's suspicions about his favorite male nurse come roaring back. When Greg and Pam's entire clan descends for the twins' birthday party, Greg must prove to the skeptical Jack that he's fully capable as the man of the house.",2010-12-21,Little Fockers,Robert De Niro Ben Stiller Owen Wilson Dustin Hoffman Barbra Streisand,Paul Weitz,Comedy Romance,tt0970866,nurse cat father-in-law vomit kids and family
285,The Other Guys,"NYPD detectives Christopher Danson (Johnson) and P.K. Highsmith (Jackson) are the baddest and most beloved cops in New York City. They don't get tattoos, other men get tattoos of them. Two desks over and one back, sit detectives Allen Gamble (Ferrell) and Terry Hoitz (Wahlberg). You've seen them in the background of photos of Danson and Highsmith, out of focus and eyes closed. They're not heroes, they're ""the other guys."" But every cop has his or her day and soon Gamble and Hoitz stumble into a seemingly innocuous case no other detective wants to touch that could turn into NYC's biggest crime. It's the opportunity of their lives, but do these guys have the right stuff?",2010-08-06,The Other Guys,Will Ferrell Mark Wahlberg Eva Mendes Samuel L. Jackson Dwayne Johnson,Adam McKay,Action Comedy Crime,tt1386588,narration ceo fire truck shot in the shoulder zip line
286,Eraser,"U.S. Marshall John Kruger erases the identities of people enrolled in the Witness Protection Program. His current assignment is to protect Lee Cullen, who's uncovered evidence that the weapons manufacturer she works for has been selling to terrorist groups. When Kruger discovers that there's a corrupt agent within the program, he must guard his own life while trying to protect Lee's.",1996-06-21,Eraser,Arnold Schwarzenegger James Caan Vanessa Williams James Coburn Robert Pastorelli,Chuck Russell,Action Drama Mystery Thriller,tt0116213,suicide ambush showdown hostage traitor
287,Django Unchained,"With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.",2012-12-25,Django Unchained,Jamie Foxx Christoph Waltz Leonardo DiCaprio Kerry Washington Samuel L. Jackson,Quentin Tarantino,Drama Western,tt1853728,bounty hunter hero plantation society friendship
288,The Hunchback of Notre Dame,"When Quasi defies the evil Frollo and ventures out to the Festival of Fools, the cruel crowd jeers him. Rescued by fellow outcast the gypsy Esmeralda, Quasi soon finds himself battling to save the people and the city he loves.",1996-06-21,The Hunchback of Notre Dame,Tom Hulce Demi Moore Tony Jay Kevin Kline Paul Kandel,Gary Trousdale,Drama Animation Family,tt0014142,paris based on novel judge obsession dance
289,The Emperor's New Groove,"Kuzco is a self-centered emperor who summons Pacha from a village and to tell him that his home will be destroyed to make room for Kuzco's new summer home. Kuzco's advisor, Yzma, tries to poison Kuzco and accidentally turns him into a llama, who accidentally ends up in Pacha's village. Pacha offers to help Kuzco if he doesn't destroy his house, and so they form an unlikely partnership.",2000-12-09,The Emperor's New Groove,David Spade John Goodman Eartha Kitt Patrick Warburton Wendie Malick,Mark Dindal,Adventure Animation Comedy Family Fantasy,tt0120917,central and south america birthday emperor palace kingdom
290,The Expendables 2,"Mr. Church reunites the Expendables for what should be an easy paycheck, but when one of their men is murdered on the job, their quest for revenge puts them deep in enemy territory and up against an unexpected threat.",2012-08-08,The Expendables 2,Sylvester Stallone Jason Statham Dolph Lundgren Bruce Willis Arnold Schwarzenegger,Simon West,Action Adventure Thriller,tt1764651,airplane number in title airplane crash violence beard
291,National Treasure,"Modern treasure hunters, led by archaeologist Ben Gates, search for a chest of riches rumored to have been stashed away by George Washington, Thomas Jefferson and Benjamin Franklin during the Revolutionary War. The chest's whereabouts may lie in secret clues embedded in the Constitution and the Declaration of Independence, and Gates is in a race to find the gold before his enemies do.",2004-11-19,National Treasure,Nicolas Cage Diane Kruger Justin Bartha Sean Bean Jon Voight,Jon Turteltaub,Adventure Action Thriller Mystery,tt0368891,riddle treasure treasure hunt archaeologist archeology\u00a0
292,Eragon,"In his homeland of Alagaesia, a farm boy happens upon a dragon's egg -- a discovery that leads him on a predestined journey where he realized he's the one person who can defend his home against an evil king.",2006-12-14,Eragon,Ed Speleers Jeremy Irons Sienna Guillory Robert Carlyle Djimon Hounsou,Stefen Fangmeier,Fantasy Action Adventure Family,tt0449010,based on novel mythical creature dragon fantasy world teenage hero
